locale;iso_code_2;iso_code_3;area;name
sc;sc;srd;;Sardinian
sd;sd;snd;;Sindhi
sd-IN;sd;snd;IN;Sindhi
sd-PK;sd;snd;PK;Sindhi
se;se;sme;;Northern Sami
se-FI;;sme;FI;Northern Sami (FI)
se-NO;se;sme;NO;Northern Sami (NO)
se-SE;se;sme;SE;Northern Sami (SE)
seh;;seh;;Sena
seh-MZ;;seh;MZ;Sena
ses;;ses;;Koyraboro Senni Songhai
ses-ML;;ses;ML;Koyraboro Senni Songhai
sg;;sag;;Sango
sg-CF;;sag;CF;Sango
shi;;shi;;Tachelhit
shi-MA;;shi;MA;Tachelhit
si;si;sin;;Sinhala\Sinhalese
si-LK;si;sin;LK;Sinhala\Sinhalese
sid;;sid;;Sidamo
sit;;sit;;Sino-Tibetan languages
sk;sk;slo;;Slovak
sk-SK;sk;slo;SK;Slovak
sl;sl;slv;;Slovenian
sl-SI;;slv;SI;Slovenian
sm;sm;smo;;Samoan
sma;;sma;;Southern Sami
smn;;smn;;Inari Sami
smn-FI;;smn;FI;Inari Sami
sn;sn;sna;;Shona
sn-ZW;sn;sna;ZW;Shona
snk;;snk;;Soninke
so;so;som;;Somali
so-DJ;so;som;DJ;Somali (DJ)
so-ET;so;som;ET;Somali (ET)
so-KE;so;som;KE;Somali (KE)
so-SO;so;som;SO;Somali
sov;;sov;;Sonsorol
sq;sq;alb;;Albanian
sq-AL;sq;alb;AL;Albanian
sq-MK;sq;alb;MK;Albanian (MK)
sq-XK;sq;alb;XK;Albanian (XK)
sr;sr;srp;;Serbian
sr-BA;sr;srp;BA;Serbian (BA)
sr-ME;sr;srp;ME;Serbian (ME)
sr-RS;sr;srp;RS;Serbian
sr-XK;sr;srp;XK;Serbian (XK)
sre;;sre;;Sara
srn;;srn;;Sranan Tongo
ss;ss;ssw;;Swati
ss-SZ;ss;ssw;SZ;Swati (SZ)
st;st;sot;;Sotho, Southern
su;su;sun;;Sundanese
su-ID;su;sun;ID;Sundanese
sv;sv;swe;;Swedish
sv-AX;sv;swe;AX;Swedish (AX)
sv-FI;sv;swe;FI;Swedish (FI)
sv-SE;sv;swe;SE;Swedish
sw;sw;swa;;Swahili
sw-CD;sw;swa;CD;Swahili (CD)
sw-KE;sw;swa;KE;Swahili (KE)
sw-TZ;sw;swa;TZ;Swahili (TZ)
sw-UG;sw;swa;UG;Swahili (UG)
swk;;swk;;Malawi Sena
ta;ta;tam;;Tamil
ta-IN;ta;tam;IN;Tamil (IN)
ta-LK;ta;tam;LK;Tamil (LK)
ta-MY;ta;tam;MY;Tamil (MY)
ta-SG;ta;tam;SG;Tamil (SG)
te;te;tel;;Telugu
te-IN;te;tel;IN;Telugu
tem;;tem;;Timne
teo;;teo;;Teso
teo-KE;;teo;KE;Teso (KE)
teo-UG;;teo;UG;Teso (UG)
tet;;tet;;Tetum
tg;tg;tgk;;Tajik
tg-TJ;tg;tgk;TJ;Tajik
th;th;tha;;Thai
th-TH;th;tha;TH;Thai
ti;;tir;;Tigrinya
ti-ER;ti;tir;ER;Tigrinya
ti-ET;ti;tir;ET;Tigrinya
tig;;tig;;Tigre
tk;tk;tuk;;Turkmen
tk-TM;tk;tuk;TM;Turkmen
tkl;;tkl;;Tokelau
tl;tl;tgl;;Tagalog
tn;tn;tsn;;Tswana
tn-BW;tn;tsn;BW;Tswana (BW)
to;to;ton;;Tonga (Tonga Islands)
to-TO;to;ton;TO;Tonga (Tonga Islands)
toi;;toi;ZM;Tonga (ZM)
tox;;tox;;Tobian
tpi;;tpi;;Tok Pisin
tr;tr;tur;;Turkish
tr-BG;tr;tur;BG;Turkish (BG)
tr-CY;tr;tur;CY;Turkish (CY)
tr-TR;tr;tur;TR;Turkish
ts;ts;tso;;Tsonga
tt;tt;tat;;Tatar
tt-RU;tt;tat;RU;Tatar
tum;;tum;;Tumbuka
tut;;tut;;Altaic languages
tvl;;tvl;;Tuvalu
tw;;twi;;Twi
twq;;twq;;Tasawaq
twq-NE;;twq;NE;Tasawaq
ty;ty;tah;;Tahitian
tyv;;tyv;;Tuvinian
tzm;;tzm;;Central Atlas Tamazight
tzm-MA;;tzm;MA;Central Atlas Tamazight
udm;;udm;;Udmurt
ug;ug;uig;;Uighur\Uyghur
ug-CN;ug;uig;CN;Uighur\Uyghur
uk;uk;ukr;;Ukrainian
uk-UA;uk;ukr;UA;Ukrainian
uli;;uli;;Ulithian
ur;ur;urd;;Urdu
ur-IN;ur;urd;IN;Urdu
ur-PK;ur;urd;PK;Urdu
uz;uz;uzb;;Uzbek
uz-AF;uz;uzb;AF;Uzbek (AF)
uz-UZ;uz;uzb;UZ;Uzbek
vai;;vai;;Vai
vai-LR;;vai;LR;Vai
ve;ve;ven;;Venda
vi;vi;vie;;Vietnamese
vi-VN;vi;vie;VN;Vietnamese
vmw;;vmw;;Makhuwa
vo;vo;vol;;Volapük
vun;;vun;;Vunjo
vun-TZ;;vun;TZ;Vunjo
wae;;wae;;Walser
wae-CH;;wae;CH;Walser
wls;;wls;;Wallisian
wo;wo;wol;;Wolof
wo-SN;wo;wol;SN;Wolof
woe;;woe;;Woleaian
wof;;wof;;Gambian Wolof
xal;;xal;;Kalmyk
xh;xh;xho;;Xhosa
xh-ZA;xh;xho;ZA;Xhosa
xog;;xog;;Soga
xog-UG;;xog;UG;Soga
yao;;yao;;Yao
yap;;yap;;Yapese
yav;;yav;;Yangben
yav-CM;;yav;CM;Yangben
yi;yi;yid;;Yiddish
yo;yo;yor;;Yoruba
yo-BJ;yo;yor;BJ;Yoruba (BJ)
yo-NG;yo;yor;NG;Yoruba (NG)
yue;;yue;;Yue Chinese
yue-CN;;yue;CN;Yue Chinese
yue-HK;;yue;HK;Yue Chinese (HK)
zgh;;zgh;;Standard Moroccan Tamazight
zgh-MA;;zgh;MA;Standard Moroccan Tamazight
zh;zh;chi;;Chinese
zh-CN;zh;chi;CN;Chinese
zh-HK;zh;chi;HK;Chinese (HK)
zh-MO;zh;chi;MO;Chinese (MO)
zh-SG;zh;chi;SG;Chinese (SG)
zh-TW;zh;chi;TW;Chinese (TW)
zu;zu;zul;;Zulu
zu-ZA;zu;zul;ZA;Zulu
